SMILES,Solvent,AM,EM,QY,AC,ST,LGAC,Et30,SP,SdP,SA,SB
CN1C=C/C(=C\c2[se]c3ccccc3[n+]2C)c2ccc(Cl)cc21,CO,518,,,47500,,4.67669361,55.4,0.608,0.904,0.605,0.545
CN1/C(=C\C=C\C=C\C=C\C2=[N+](CCCC[P+](c3ccccc3)(c3ccccc3)c3ccccc3)c3ccccc3C2(C)C)C(C)(C)c2cc(I)ccc21,CO,750,781,0.28,236000,31,5.372912003,55.4,0.608,0.904,0.605,0.545
CN1C=C/C(=C\c2occ(-c3ccccc3)[n+]2C)c2ccccc21,CO,460,,,47000,,4.672097858,55.4,0.608,0.904,0.605,0.545
CCCN1/C(=C/C=C/c2sc3ccccc3[n+]2CCC)Sc2ccccc21,O,554,,,,,,63.1,0.681,0.997,1.062,0.025
CC[N+](CC)(CC)CCCN1C=C/C(=C\c2sc3ccccc3[n+]2CCC(=O)NC)c2ccccc21,CO,508,,,87500,,4.942008053,55.4,0.608,0.904,0.605,0.545
CC1(C)C(/C=C/C2=C(Cl)/C(=C\C=C3/N(Cc4ccc(C(=O)O)cc4)c4ccc(S(=O)(=O)[O-])cc4C3(C)C)CCC2)=[N+](Cc2ccc(C(=O)O)cc2)c2ccc(S(=O)(=O)[O-])cc21,CO,795,818,,,23,,55.4,0.608,0.904,0.605,0.545
CC1(C)C(/C=C/C2=C(Cl)/C(=C\C=C3/N(Cc4ccc(C(=O)O)cc4)c4ccc(S(=O)(=O)[O-])cc4C3(C)C)CCC2)=[N+](Cc2ccc(C(=O)O)cc2)c2ccc(S(=O)(=O)[O-])cc21,O,784,805,,104070,21,5.017325555,63.1,0.681,0.997,1.062,0.025
CC1(C)C(/C=C/C2=C(Cl)/C(=C\C=C3/N(Cc4ccc(C(=O)O)cc4)c4ccc(S(=O)(=O)[O-])cc4C3(C)C)CCC2)=[N+](Cc2ccc(C(=O)O)cc2)c2ccc(S(=O)(=O)[O-])cc21,CN(C)C=O,809,820,,,11,,43.2,0.759,0.977,0.031,0.613
Cc1ccc(/C(c2c3ccccc3c3n(C)c(-c4cccs4)nn23)=c2\c3ccccc3c3n2nc(-c2cccs2)[n+]3C)cc1,CC#N,585,,,12022,,4.079976724,45.6,0.645,0.974,0.044,0.286
CC1(C)C(/C=C/C=C/C=C/C=C2/N(Cc3ccccc3)c3ccc(S(=O)(=O)[O-])cc3C2(C)C)=[N+](Cc2ccccc2)c2ccc(S(=O)(=O)[O-])cc21,O,748,771,0.28,104000,23,5.017033339,63.1,0.681,0.997,1.062,0.025
CC1(C)C(/C=C/C=C/C=C/C=C2/N(Cc3ccccc3)c3ccc(S(=O)(=O)[O-])cc3C2(C)C)=[N+](Cc2ccccc2)c2ccc(S(=O)(=O)[O-])cc21,CO,753,773,0.62,119000,20,5.075546961,55.4,0.608,0.904,0.605,0.545
C[n+]1c(C=C2C=CN(CCCC[N+](C)(C)CCC[N+](C)(C)CCCCN3C=C/C(=C\c4oc5ccccc5[n+]4C)c4ccccc43)c3ccccc32)oc2ccccc21,CC#N,478,,,133000,,5.123851641,45.6,0.645,0.974,0.044,0.286
CC1(C)C(/C=C/C=C/C=C/C=C2/N(CCCCS(=O)(=O)[O-])c3ccc(C(=O)NCCCNCCCCN)cc3C2(C)C)=[N+](CCCCS(=O)(=O)[O-])c2ccc(C(=O)NCCCNCCCCN)cc21,O,755,781,0.15,260000,26,5.414973348,63.1,0.681,0.997,1.062,0.025
COC(=O)CCN1/C(=C/C=C2\CCCC(/C=C/C3=[N+](CCC(=O)OC)c4ccccc4C3(C)C)=C2Cl)C(C)(C)c2ccccc21,CS(=O)C,797,813,0.142,235000,16,5.371067862,45.1,0.83,1,0.072,0.647
COC(=O)CCN1/C(=C/C=C2\CCCC(/C=C/C3=[N+](CCC(=O)OC)c4ccccc4C3(C)C)=C2Cl)C(C)(C)c2ccccc21,CCO,785,802,0.204,241000,17,5.382017043,51.9,0.633,0.783,0.4,0.658
OC(CBr)CN1C=C/C(=C\c2sc3ccccc3[n+]2CCC[n+]2ccccc2)c2ccccc21,CO,504,,,89800,,4.953276337,55.4,0.608,0.904,0.605,0.545
C[n+]1c(-c2ccccc2)csc1/C=C1\C=CN(CCC[n+]2ccccc2)c2ccccc21,O,520,,,67600,,4.829946696,63.1,0.681,0.997,1.062,0.025
CC1(C)C2=[N+](CCCCCC(=O)NCCCCNC(=O)CCCCCN3/C(=C/C=C/C=C/C=C/2)C(C)(C)c2cc(S(=O)(=O)[O-])ccc23)c2ccc(S(=O)(=O)[O-])cc21,O,750,770,0.33,232000,20,5.365487985,63.1,0.681,0.997,1.062,0.025
