SMILES,Solvent,AM,EM,QY,AC,ST,LGAC,Et30,SP,SdP,SA,SB
COC(=O)c1ccccc1-c1c2cc([N+](=O)[O-])c(=O)c(Br)c-2oc2c(Br)c([O-])c([N+](=O)[O-])cc12,O,533,589,0.0008,73180,57,4.864392405,63.1,0.681,0.997,1.062,0.025
COC(=O)c1ccccc1-c1c2cc([N+](=O)[O-])c(=O)c(Br)c-2oc2c(Br)c([O-])c([N+](=O)[O-])cc12,CO,541,589,0.027,81586,49,4.911615641,55.4,0.608,0.904,0.605,0.545
COC(=O)c1ccccc1-c1c2cc([N+](=O)[O-])c(=O)c(Br)c-2oc2c(Br)c([O-])c([N+](=O)[O-])cc12,CS(=O)C,557,601,0.482,81634,45,4.911871077,45.1,0.83,1,0.072,0.647
COC(=O)c1ccccc1-c1c2cc([N+](=O)[O-])c(=O)c(Br)c-2oc2c(Br)c([O-])c([N+](=O)[O-])cc12,CC#N,550,592,0.434,85813,42,4.933553085,45.6,0.645,0.974,0.044,0.286
COC(=O)c1ccccc1-c1c2cc([N+](=O)[O-])c(=O)c(Br)c-2oc2c(Br)c([O-])c([N+](=O)[O-])cc12,CN(C)C=O,555,596,0.548,82783,42,4.917941161,43.2,0.759,0.977,0.031,0.613
COC(=O)c1ccccc1-c1c2cc([N+](=O)[O-])c(=O)c(Br)c-2oc2c(Br)c([O-])c([N+](=O)[O-])cc12,CCO,547,590,0.078,85670,44,4.932828767,51.9,0.633,0.783,0.4,0.658
COC(=O)c1ccccc1-c1c2cc([N+](=O)[O-])c(=O)c(Br)c-2oc2c(Br)c([O-])c([N+](=O)[O-])cc12,CC(=O)C,552,590,0.498,86308,39,4.936051053,42.2,0.651,0.907,0,0.475
CCNc1cc2c(cc1C)C(c1ccccc1C(=O)O)=C1CCCC(/C=C/C3=[N+](C)c4ccc5ccccc5c4C3(C)C)=C1O2,CO,710,744,0.33,130220,34,5.114677691,55.4,0.608,0.904,0.605,0.545
CCNc1cc2c(cc1C)C(c1ccccc1C(=O)O)=C1CCCC(/C=C/C3=[N+](C)c4ccc5ccccc5c4C3(C)C)=C1O2,C(Cl)(Cl)Cl,722,748,0.48,119854,26,5.078652533,39.1,0.783,0.614,0.047,0.071
CCNc1cc2c(cc1C)C(c1ccccc1C(=O)O)=C1CCCC(/C=C/C3=[N+](C)c4ccc5ccccc5c4C3(C)C)=C1O2,CC#N,716,749,0.22,,33,,45.6,0.645,0.974,0.044,0.286
CCNc1cc2c(cc1C)C(c1ccccc1C(=O)O)=C1CCCC(/C=C/C3=[N+](C)c4ccc5ccccc5c4C3(C)C)=C1O2,CCO,708,741,0.34,135880,33,5.133155538,51.9,0.633,0.783,0.4,0.658
CCN(CC)c1ccc2c(c1)[Si](C)(C)c1cc(N(CC)CC)ccc1C21OC(=O)c2ccc([N+](=O)[O-])cc21,CCO,664,680,0.09,160000,16,5.204119983,51.9,0.633,0.783,0.4,0.658
CCN(CC)c1ccc2c(-c3ccccc3C(=O)O)c3cc4c(cc3[o+]c2c1)N(CC)C1CCCCC1N4CC,O,586,671,0.06,170000,85,5.230448921,63.1,0.681,0.997,1.062,0.025
CCN(CC)c1ccc2c(-c3ccccc3C(=O)O)c3cc4c(cc3[o+]c2c1)N(CC)C1CCCCC1N4CC,CCO,584,660,0.35,176000,76,5.245512668,51.9,0.633,0.783,0.4,0.658
CCN(CC)c1ccc2c(-c3ccccc3C(=O)O)c3cc4c(cc3[o+]c2c1)N(CC)C1CCCCC1N4CC,C(Cl)Cl,602,666,0.3,193000,64,5.285557309,40.7,0.761,0.769,0.04,0.178
CCN(CC)c1ccc2c(-c3ccccc3C(=O)O)c3cc4c(cc3[o+]c2c1)N(CC)C1CCCCC1N4CC,CC#N,582,667,0.25,75800,85,4.879669206,45.6,0.645,0.974,0.044,0.286
C#CNC1=c2cc3c4c(c2[Si](C)(C)c2c1cc1c5c2CCCN5CCC1)CCC[N+]=4CCC3,CC#N,515,654,0.18,32000,139,4.505149978,45.6,0.645,0.974,0.044,0.286
C#CNC1=c2cc3c4c(c2[Si](C)(C)c2c1cc1c5c2CCCN5CCC1)CCC[N+]=4CCC3,C(Cl)Cl,517,657,0.23,30200,140,4.480006943,40.7,0.761,0.769,0.04,0.178
C#CNC1=c2cc3c4c(c2[Si](C)(C)c2c1cc1c5c2CCCN5CCC1)CCC[N+]=4CCC3,CCO,510,644,0.19,20900,134,4.320146286,51.9,0.633,0.783,0.4,0.658
Cc1c2ccc(=[N+]3CCCCC3)cc-2oc2cc(N3CCCCC3)ccc12,C(Cl)Cl,555,570,0.91,101900,15,5.008174184,40.7,0.761,0.769,0.04,0.178
Cc1cccc(C)c1C1=C2C=CC(=O)C=C2P(=O)(c2ccccc2)c2cc(O)ccc21,O,600,619,0.68,67570,19,4.829753919,63.1,0.681,0.997,1.062,0.025
CC[N+](CC)=c1ccc2c(-c3ccccc3C(=O)O)c3c(=O)oc4cc5c(cc4c3oc-2c1)CCCN5C,C(Cl)(Cl)Cl,610,647,0.27,76600,37,4.88422877,39.1,0.783,0.614,0.047,0.071
CC[N+](CC)=c1ccc2c(-c3ccccc3C(=O)O)c3c(=O)oc4cc5c(cc4c3oc-2c1)CCCN5C,CCO,598,651,0.05,64800,53,4.811575006,51.9,0.633,0.783,0.4,0.658
CC[N+](CC)=c1ccc2c(-c3ccccc3C(=O)O)c3c(=O)oc4cc5c(cc4c3oc-2c1)CCCN5C,O,601,658,,44800,57,4.651278014,63.1,0.681,0.997,1.062,0.025
O=c1ccc2c(C#Cc3ccccc3F)c3ccc(O)cc3oc-2c1,CS(=O)C,615,646,0.38,53000,31,4.72427587,45.1,0.83,1,0.072,0.647
CCCCOC(=O)c1ccccc1-c1c2cc(Cl)c(=O)c(Cl)c-2oc2c(Cl)c(OCCCC)c(Cl)cc12,CO,496,540,0.15,,44,,55.4,0.608,0.904,0.605,0.545
COc1ccccc1-c1c2ccc(=[N+]3CCCCC3)cc-2oc2cc(N3CCCCC3)ccc12,C(Cl)Cl,566,585,0.92,118000,19,5.071882007,40.7,0.761,0.769,0.04,0.178
COc1ccccc1-c1c2ccc(=[N+]3CCCCC3)cc-2oc2cc(N3CCCCC3)ccc12,CCO,564,586,0.36,115600,22,5.062957834,51.9,0.633,0.783,0.4,0.658
CCN1CC2CCCCN2c2cc3oc4c(Cl)c(=O)ccc-4c(-c4ccccc4C(=O)O)c3cc21,O,557,706,,,149,,63.1,0.681,0.997,1.062,0.025
O=C(O)c1ccc2c(c1)oc1cc(=O)cc3oc4cc(O)ccc4c2c31,CS(=O)C,575,608,0.52,39000,33,4.591064607,45.1,0.83,1,0.072,0.647
